邻区电平是否存在,CRC失败或连续LID,HC是否配对,故障与小区,上行电平,下电电平,上行质量,下行质量,V110与DISC,RBC到车载,五次RR,RR延长发送,RBC断开,APDU不发消息,故障类型
1,0,0,2,0,0,1,0,0,1,0,0,0,0,1
0,0,0,2,1,0,1,0,0,1,0,0,0,0,1
1,0,0,2,1,0,0,1,0,1,0,0,0,0,7
1,0,0,2,1,0,0,1,0,1,0,0,0,0,7
1,0,0,2,0,0,0,0,0,1,0,0,0,0,7
0,1,0,2,0,0,0,0,0,0,0,0,1,0,7
1,1,0,0,1,0,0,0,0,1,0,0,1,0,7
1,1,0,0,1,0,0,0,0,1,0,0,1,0,7
0,1,0,2,0,0,0,0,0,0,0,0,1,0,7
1,1,0,0,1,0,0,0,0,1,0,0,0,0,3
1,0,0,2,1,0,0,1,0,1,0,0,1,0,3
1,0,0,2,1,0,0,1,0,1,0,0,1,0,3
1,1,0,0,1,0,0,0,0,1,0,0,0,0,3
0,1,2,0,1,1,1,1,0,0,0,0,1,0,0
1,0,0,2,0,0,0,0,0,1,0,0,0,0,7
1,0,0,0,1,0,0,1,0,1,0,0,0,0,7
1,0,0,0,1,0,0,1,0,1,0,0,0,0,7
1,0,0,2,0,0,0,0,0,1,0,0,0,0,7
1,0,0,0,1,0,1,1,0,1,0,0,0,0,1
0,0,0,2,0,0,1,1,0,1,0,0,0,0,1
0,0,0,2,0,0,1,1,0,1,0,0,0,0,1
1,0,0,2,0,0,0,1,0,1,0,0,0,0,4
1,0,0,1,1,1,1,1,0,1,0,1,0,0,8
1,0,4,0,1,1,0,1,0,1,0,1,0,0,8
0,0,0,1,1,1,0,1,0,1,0,1,0,0,8
0,0,0,0,0,0,0,0,0,1,0,1,0,0,8
0,0,0,0,1,0,0,1,0,1,0,1,0,0,8
1,0,0,1,1,1,0,1,0,1,0,1,0,0,8
1,0,0,0,1,0,0,1,0,1,0,1,0,0,8
1,0,0,0,1,0,0,1,0,1,0,1,0,0,8
0,0,0,1,1,1,1,1,0,1,0,1,0,0,8
0,0,1,0,1,0,0,1,1,1,0,1,0,0,8
0,0,0,1,2,0,1,1,0,1,0,0,1,0,2
1,0,1,0,2,0,1,1,0,1,0,1,1,0,2
0,0,0,1,2,1,1,1,0,1,0,0,0,0,2
0,0,0,1,2,0,1,1,0,1,0,0,1,0,2
0,0,0,1,2,1,1,1,0,1,0,0,1,0,2
0,0,0,1,2,1,1,1,0,1,0,0,1,0,2
0,0,0,0,2,0,0,1,0,1,0,0,0,0,7
1,0,0,0,1,0,1,1,0,1,0,0,0,0,7
0,0,1,0,1,0,0,1,0,1,0,1,0,0,0
0,0,1,0,1,0,0,1,0,1,0,1,0,0,0
0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
1,0,4,0,1,1,0,1,0,1,0,0,0,0,12
1,0,4,0,1,1,0,1,0,1,0,0,0,0,12
1,0,0,1,0,0,0,1,0,1,0,0,0,0,0
1,0,4,0,1,1,1,1,0,1,0,1,0,0,12
0,1,4,0,1,1,1,1,0,0,0,0,1,0,12
1,0,4,0,1,1,1,1,0,1,0,0,0,0,12
1,0,4,0,1,1,1,1,0,1,0,0,0,0,12
1,0,4,0,1,1,1,1,0,1,0,0,0,0,12
1,0,4,0,1,1,1,1,0,1,0,0,0,0,12
0,1,0,0,1,1,1,1,1,1,0,0,0,1,11
0,0,0,0,1,1,0,1,0,1,0,0,0,1,11
0,0,0,0,1,1,0,1,0,1,0,0,0,1,11
1,0,0,0,1,1,0,1,0,1,0,0,0,1,11
1,0,0,0,1,1,0,1,0,1,0,0,0,1,11
1,0,0,0,1,1,0,1,0,1,0,0,0,1,11
1,0,0,1,1,1,1,1,0,1,0,1,0,1,8
0,0,0,1,1,1,1,1,0,1,0,0,0,1,11
0,1,0,0,1,1,1,1,1,1,0,0,0,1,11
1,0,0,1,1,1,1,1,0,1,0,1,0,0,8
1,0,4,0,1,1,0,1,0,1,0,1,0,0,8
0,0,0,0,1,0,0,1,0,1,0,1,0,0,8
0,0,0,0,1,0,0,1,0,1,0,1,0,0,8
1,0,0,1,1,1,0,1,0,1,0,1,0,0,8
1,0,0,0,1,0,0,1,0,1,0,1,0,0,8
0,1,0,0,1,1,1,1,0,0,0,0,1,0,0
0,0,0,1,1,1,1,1,0,1,0,1,0,0,8
0,0,1,0,1,0,0,1,1,1,0,1,0,0,8
1,0,1,0,2,0,1,1,0,1,0,1,1,0,2
0,0,0,1,2,1,1,1,0,1,0,0,0,0,2
0,0,0,1,2,0,1,1,0,1,0,0,1,0,2
0,0,0,1,2,1,1,1,0,1,0,0,1,0,2
0,0,0,1,2,1,1,1,0,1,0,0,1,0,2
0,0,0,0,2,0,0,1,0,1,0,0,0,0,2
1,0,0,0,0,0,0,1,0,1,0,0,0,0,7
1,0,0,0,0,0,0,1,0,1,0,0,0,0,7
0,1,0,0,0,1,0,0,0,0,0,0,1,0,7
0,1,0,0,0,1,0,0,0,0,0,0,1,0,7
0,1,0,0,0,1,0,0,0,0,0,0,1,0,7
1,0,0,0,1,0,1,1,0,1,0,0,0,0,7
1,0,0,0,1,0,1,1,0,1,0,0,0,0,7
1,0,0,0,1,1,0,1,0,1,0,0,0,0,3
1,0,0,0,1,1,0,1,0,1,0,0,0,0,3
1,0,0,1,1,0,0,1,0,1,0,1,1,0,8
1,0,0,1,1,0,0,1,0,1,0,0,0,0,3
1,0,0,1,1,1,0,1,0,1,0,0,0,0,3
1,0,0,0,1,0,0,1,0,1,0,0,0,0,3
1,0,0,0,1,0,0,1,0,1,0,0,0,0,3
1,0,0,0,1,0,0,1,0,1,0,0,0,0,3
1,0,4,0,1,1,1,1,0,1,0,0,0,0,12
0,0,1,0,1,0,0,1,0,1,0,1,0,0,0
0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
1,0,4,0,1,1,0,1,0,1,0,0,0,0,12
1,0,0,1,0,0,0,1,0,1,0,0,0,0,0
1,0,4,0,1,1,1,1,0,1,0,1,0,0,12
0,1,4,0,1,1,1,1,0,0,0,0,1,0,12
1,0,4,0,1,1,1,1,0,1,0,0,0,0,12
1,0,4,0,1,1,1,1,0,1,0,0,0,0,12
1,0,4,0,1,1,1,1,0,1,0,0,0,0,12
1,0,0,1,1,1,1,1,0,1,0,1,0,1,11
1,0,0,1,1,1,1,1,0,1,0,1,0,1,11
1,0,0,1,1,1,1,1,0,1,0,1,0,1,11
1,0,0,0,1,0,1,0,0,1,0,0,0,0,1
1,0,0,1,1,0,1,1,0,1,0,0,0,0,1
1,0,0,0,1,1,1,1,0,1,0,0,1,0,1
1,0,0,0,1,1,1,1,0,1,0,0,0,0,1
1,0,0,0,1,1,1,1,0,1,0,0,0,0,1
1,0,4,0,1,1,1,1,0,1,0,0,0,0,5
1,0,4,0,1,1,1,1,0,1,0,0,0,0,5
1,0,4,0,1,1,1,1,0,1,0,0,0,0,5
1,0,1,0,1,0,0,1,0,1,0,1,0,0,4
1,0,0,0,2,0,1,1,0,1,0,0,1,0,4
1,0,1,0,1,0,0,1,0,1,0,1,0,0,4
1,0,0,0,2,0,1,1,0,1,0,0,1,0,4
1,0,1,0,1,0,0,1,0,1,0,1,0,0,4
1,0,4,0,1,1,1,1,0,1,0,0,0,0,5
1,0,4,0,1,1,1,1,0,1,0,0,0,0,5
0,1,0,0,0,1,0,1,1,0,0,0,1,0,6
0,0,0,0,1,1,0,1,1,1,0,0,0,0,6
0,0,0,0,1,0,0,1,1,1,0,0,0,0,6
0,0,1,0,1,0,0,1,1,1,0,0,0,0,6
0,1,0,0,0,1,0,1,1,0,0,0,1,0,6
0,0,0,0,1,1,0,1,1,1,0,0,0,0,6
0,1,0,0,0,1,0,1,1,0,0,0,1,0,6
0,0,0,0,1,1,0,1,1,1,0,0,0,0,6
0,0,0,0,1,0,0,1,1,1,0,0,0,0,6
0,0,1,0,1,0,0,1,1,1,0,0,0,0,6
0,1,0,0,0,1,0,1,1,0,0,0,1,0,6
0,0,0,0,1,1,0,1,1,1,0,0,0,0,6
1,0,1,0,1,0,0,1,0,1,0,1,0,0,4
0,1,0,0,0,1,0,1,1,0,0,0,1,0,6
0,1,0,0,0,1,0,1,1,0,0,0,1,0,6
0,0,0,0,1,1,0,1,1,1,0,0,0,0,6
0,0,0,0,1,1,0,1,1,1,0,0,0,0,6
0,0,0,0,1,0,0,1,1,1,0,0,0,0,6
0,0,1,0,1,0,0,1,1,1,0,0,0,0,6
0,0,0,0,1,0,1,1,0,1,0,0,0,0,1
0,0,0,0,1,0,1,1,0,1,0,0,0,0,1
0,1,0,0,0,1,0,0,0,0,0,0,1,0,1
0,1,0,0,0,1,0,0,0,0,0,0,1,0,1
1,0,0,0,1,1,1,1,0,1,0,0,1,0,2
0,1,0,0,0,1,0,0,0,0,0,0,1,0,1
0,1,0,0,0,1,0,0,0,0,0,0,1,0,1
0,1,0,0,0,1,0,0,0,0,0,0,1,0,1
0,1,0,0,0,1,0,0,0,0,0,0,1,0,1
0,0,0,0,1,0,1,1,0,1,0,0,0,0,1
